business_description,generated_domains,relevance_score,creativity_score,diversity_score,overall_score,justification
A meal planning app designed for people with autoimmune conditions.,"['AutoimmunePlate.com', 'NourishImmune.com', 'AutoimmuneWellness.com', 'ImmuneBoostMealPlan.com', 'ThriveWithAutoimmune.com', 'AutoimmuneEasy.com', 'MealPlanAutoimmune.com', 'AutoimmuneSimplified.com', 'PlanMyImmune.com', 'AutoimmuneMealMagic.com', 'AutoimmuneCommunityMeal.com', 'AutoimmuneSupportPlan.com', 'ImmuneStrongTogether.com', 'AutoimmuneConnectMeal.com']",5,3,2,3.0,"The domain names are highly relevant to the niche of meal planning for autoimmune conditions. They use terms like 'immune,' 'meal,' 'plan,' and 'autoimmune' which clearly tie to the business. However, the creativity is moderate—most names are literal descriptions, with few taking imaginative or unique branding directions (e.g., 'AutoimmuneMealMagic' stands out slightly). The diversity is limited as all names follow a similar structural pattern (e.g., compound phrases with keywords) and there is no variation in TLDs (all .com). A good attempt, but it could be improved with more creative choices and a mix of naming styles or TLDs."
An online marketplace for hand-forged blacksmith tools.,"['ForgeMarket.com', 'ArtisanForge.com', 'BlacksmithTools.Shop', 'ForgedArtisan.com', 'MasterForge.com', 'BlacksmithSupply.com', 'ForgeMaster.com', 'HammerForge.com', 'IronForge.com', 'SteelArtisan.com', 'BlacksmithBox.com', 'ForgeFinders.com', 'Ironhand.com']",5,3,4,4.0,"The domain names are highly relevant to the business description, using specific terms like 'forge,' 'blacksmith,' and 'tools' that align with hand-forged blacksmith tools. While some names show creativity, such as 'ForgeFinders' and 'Ironhand,' others like 'BlacksmithTools.Shop' are more literal and straightforward. The list demonstrates good diversity in TLDs (.com, .shop) and naming styles (direct, descriptive, and slightly abstract), but it could be improved by including more unique or inventive brandable names."
A kit subscription for learning ancient calligraphy styles.,"['BrushstrokesOfTime.com', 'InkAndAncient.com', 'CalligraphyCanvas.com', 'ScribbleThroughHistory.com', 'ScriptoriumSecrets.com', 'AncientInkVault.com', 'CalligraphyChronicles.com', 'AncientCalligraphyKits.com', 'LearnAncientScripts.com', 'CalligraphyMasterClass.com', 'AncientCalligraphySubscription.com', 'ScriptMaster.com', 'CalligraphyArchive.com', 'HistoryThroughHandwriting.com', 'TheBrushAndTheBard.com', 'InkAndEchoes.com', 'CalligraphyQuest.com', 'AncientScriptorium.com', 'ScriptoriumDelivered.com', 'HandwrittenHistory.com', 'Bonus']",5,4,3,4.0,"The domains strongly relate to the ancient calligraphy kit subscription concept, effectively incorporating themes of handwriting, history, and scripts. Creativity is evident in names like 'TheBrushAndTheBard.com,' 'InkAndEchoes.com,' and 'ScriptoriumSecrets.com,' which evoke a sense of artistry and historical intrigue. However, there is limited diversity in TLDs, as all domains appear to be .com, and the naming styles predominantly focus on direct representation rather than exploring unique metaphors or abstract expressions. Overall, this is an effective and thoughtful list."
A community and store for DIY modular synthesizer builders.,"['SynthLab.com', 'ModularMe.com', 'PatchLab.com', 'SynthHive.com', 'Build.Sound.com', 'ModularBuilders.com', 'ModularCommunity.com', 'SynthSource.com', 'ModularMarket.com', 'SynthConnect.com', 'CircuitCraft.com', 'AnalogAlchemy.com']",5,4,3,4.0,"The domains are highly relevant to DIY modular synthesizer building, incorporating key concepts like 'synth', 'modular', and 'build'. There is solid creativity in names like 'AnalogAlchemy' and 'CircuitCraft', which evoke a sense of artistry and innovation. However, the diversity of TLDs is lacking, as all domains stick to '.com', and there is a heavier reliance on straightforward naming styles over abstract or playful options. Overall, the list is strong but could benefit from greater diversity and slightly more inventiveness."
An online platform for trading and grading vintage postcards.,"['PostcardPal', 'VintagePostcard.com', 'PostcardTreasure', 'ThePostcardShop', 'PostcardPro', 'PostcardVault', 'AntiquePostcard.com', 'PostcardMarketplace', 'PostcardCollectors', 'VintagePostcardGrading.com', 'ThePostcardExchange.com', 'CertifiedPostcardTrading.com', 'AntiquePostcardAuctions.com', 'VintagePostcardExperts.com', 'ClassicPostcardMarket.com', 'ThePostcardConnoisseur.com', 'PostcardExperts.com', 'PostcardEra.com', 'ThePostcardChronicle.com', 'PostcardLegacy.com', 'PostcardTimeCapsule.com', 'ThePostcardArchive.com', 'PostcardStorytellers.com', 'VintagePostcardSociety.com', 'PostcardUniverse.com']",5,4,3,4.0,"The domain names are highly relevant to the business description, with clear references to vintage postcards, trading, grading, and collecting. Creativity is strong, with inventive names like 'PostcardTimeCapsule.com' and 'PostcardStorytellers.com' standing out as brandable and evocative. However, diversity is moderate—most names follow similar patterns, and while there are multiple styles (e.g., marketplace, archive, society), almost all domains use a .com TLD, limiting broader diversity. Overall, this is a solid set of domain suggestions with minor opportunities for improvement in diversity."
A service that helps writers self-publish illustrated children’s books.,"['IllustrateKidsBooks.com', 'SelfPublishKidsBooks.com', 'IllustratedChildrenBooks.net', 'KidsBookIllustration.com', 'PictureBookPublishing.com', 'ChildrenBookArt.com', 'StorySpark.com', 'PictureThis.com', 'BookBlooms.com', 'WhimsicalWords.com', 'TinyTales.com', 'TheStoryGarden.com', 'InkAndImagination.com', 'LittleScribesStudio.com', 'BookwormBloom.com', 'Storyweaver.com', 'PageTurners.com', 'WonderlandPress.com', 'IllustratedChildrenBooks.co', 'SelfPublishKidsBooks.net', 'PictureBookIllustration.com']",5,4,3,4.0,"The domain names are highly relevant to the business, successfully incorporating themes of self-publishing, children's books, and illustration. There are several creative and brandable options such as 'StorySpark.com,' 'WhimsicalWords.com,' 'InkAndImagination.com,' and 'TheStoryGarden.com,' which stand out for their originality. However, there is a modest lack of diversity in TLDs, with most being .com, .net, or .co, and the naming styles slightly skew toward descriptive or whimsical without more contemporary or innovative approaches."
A YouTube channel that recreates historical cooking techniques.,"['PastryPastries', 'TimeTravelKitchen', 'AncientAppetites', 'KitchenChronicles', 'FoodieFolklore', 'HistoryInYourBelly', 'CookingThroughTime', 'TheCulinaryTimeline', 'HistoricalRecipes.com', 'RelivingCulinaryHeritage.com', 'PastToPresentCooking.com', 'TheCulinaryArchive.com', 'CookingThroughHistory.com', 'TasteOfThePast.com', 'HistoryInEveryDish.com', 'HistoricKitchen.com', 'TheAlchemyOfTaste', 'WhispersFromThePast', 'CulinaryEchoes', 'TheGrandFeast.com', 'AncientTable.com', 'TheFlavorsOfYesterday.com', 'TheKitchenChronicles.com', 'RelivingCulinaryLegends.com', 'Considerations']",5,4,3,4.0,"The domain names are highly relevant to the business, with strong connections to historical cooking and culinary themes. Creativity is notable, with inventive and brandable terms like 'TheAlchemyOfTaste' and 'WhispersFromThePast.' Diversity is moderate; there are .com options and a good mix of literal and evocative naming styles, but most are still focused on .com and could benefit from alternative TLDs or formats."
A subscription box for indie puzzle games and escape-room-in-a-box kits.,"['PuzzleBoxClub.com', 'EscapeBox.co', 'RoomToEscape.com', 'IndieEscape.net', 'PuzzleQuestBox.com', 'TheEscapeRoomBox.com', 'LockedRoomLoot.com', 'MysteryMe.com', 'GameOnGo.com', 'EscapeAndPlay.com', 'IndiePuzzleSubscription.com', 'EscapeRoomInABox.com', 'PuzzleGameBox.com', 'SubscriptionEscapeRooms.com', 'TheIndieEscapeBox.com', 'PuzzleBoxSubscriptions.com', 'EscapeRoomSubscription.com', 'IndieEscapeClub.com', 'TheCuriousCase.com', 'EscapeTheOrdinary.com', 'MysteryMakers.com', 'ThePuzzleBox.co', 'RoomToUnravel.com', 'EscapeTheWalls.com', 'UnlockYourMind.com', 'TheEscapeEnthusiast.com']",5,4,5,5.0,"The domain names are highly relevant to the business description, with strong connections to puzzles, escape rooms, and indie games. Creativity is demonstrated through inventive and brandable names like 'EscapeTheOrdinary.com,' 'TheCuriousCase.com,' and 'UnlockYourMind.com,' which evoke mystery and intrigue without being overly literal. The list shows great diversity in naming styles (e.g., descriptive, playful, imaginative), and there is an excellent mix of TLDs including .com, .co, and .net. Overall, this list is both well-crafted and versatile."
A membership club for astronomy enthusiasts with telescope rentals.,"['Brand-Focused', 'Availability', 'Memorability', 'Relevance', 'StargazersClub.com', 'TelescopeClub.net', 'NightSkyMembership.com', 'AstroHub.club', 'CelestialMembers.com', 'PlanetariumClub.org', 'CosmicConnection.club', 'StarstruckSociety.com', 'MoonlitMembers.com', 'MilkyWayCrew.net', 'CosmicCompanions.com', 'GalaxyGatherings.com', 'StellarSeekers.net', 'TelescopeTribe.com', '[City]AstronomyClub.com', '[Region]Stargazers.net', '[State]TelescopeRentals.com', '**Availability', '**Memorability', '**Relevance', '**SEO']",4,3,4,4.0,"The domain names are generally relevant to the astronomy club and telescope rental theme, though some lack clear emphasis on the telescope rental aspect. Creativity is moderate, with some inventive names like 'CosmicCompanions.com' and 'MoonlitMembers.com,' but several are more straightforward, such as 'StargazersClub.com' and 'TelescopeClub.net.' Diversity is good, with a mix of TLDs such as .com, .net, .club, and .org, as well as varied naming styles including descriptive, metaphorical, and geographic focus. Overall, the list performs well but could improve in specificity and innovation."
A service that matches hobbyists with local makerspaces.,"['Availability', 'Memorability', 'MakerMatch.com', 'CraftConnect.com', 'HobbyHub.com', 'MakersNest.com', 'WorkshopFind.com', 'DIYConnect.com', 'MakerLocal.com', 'MakerSeek.com', 'MakerspaceMatch.com', 'LocalMakerspaces.com', 'HobbyistToMaker.com', 'MakerspaceFinders.com', 'MakerspaceMatch.net', 'HobbyistAndMaker.com', 'ConnectYourCraft.com', 'FindYourMakerSpace.com', 'MakerMeets.com', 'CraftQuest.com', 'WorkshopWanderlust.com', 'MakerMinions.com', 'TheMakerLounge.com', 'DIYDiscovery.com', 'MakerQuest.com', '[City]Makerspace.com', '[State]MakerMatch.com', '[Region]CraftConnect.com', 'TheMakerNest.com', 'MakerspaceTribe.com', 'CraftConnectors.com', 'TheDIYNetwork.com', 'WorkshopWarriors.com', '**Availability', '**Memorability']",4,3,4,4.0,"The domain names are largely relevant to the concept of connecting hobbyists with makerspaces, with many using keywords like 'maker,' 'space,' 'craft,' and 'connect' that align with the business theme. The creativity is moderate, with a mix of descriptive names (e.g., MakerMatch, DIYConnect, WorkshopFind) and more inventive ones (e.g., WorkshopWanderlust, MakerMinions). Diversity is strong, as the list includes various naming styles like keyword combinations, metaphorical names, and names implying a network or community. Most TLDs are .com, but there’s also a .net option, and placeholders suggest regional variation ([City], [State], [Region]), which boosts breadth. However, some repeated entries ('Availability' and 'Memorability') detract slightly from the overall quality."
An app for tracking and sharing urban birdwatching sightings.,"['ChirpCity.com', 'UrbanBirdSpotter.com', 'WingWatch.com', 'BirdBreaks.com', 'TweetTrails.com', 'CitySights.com', 'FeatheredFinds.com', 'Wingman.app', 'BirdseyeView.com', 'Skywatchers.com', 'UrbanBirdSightings.com', 'BirdTrack.app', 'UrbanBirdWatcher.com', 'CityBirdWatch.com', 'BirdSpotter.io', 'BirdTracking.app', 'BirdCity.com', 'CityBirdWatch.com', '[City]BirdSightings.com', 'WingedWanderlust.com', 'TheFeatheredFlyer.com', 'BirdWhisperer.com', 'UrbanEcotourism.com', 'NatureQuest.app']",4,4,5,4.0,"The domain names are mostly relevant to the app's purpose, focusing on birdwatching and urban environments, though a few stray into broader concepts like ecotourism, reducing full relevance. The creativity level is good, with many domain names using imaginative and memorable phrasing (e.g., WingWatch.com, TweetTrails.com, WingedWanderlust.com), but some are overly literal. The diversity of TLDs like .com, .app, and .io adds variety, and the inclusion of multiple naming styles (e.g., descriptive, figurative) further enhances the score overall."
